language,period,repetition,test_accuracy,test_f1_macro,training_logs,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2
pt,before_2016,21,0.4230769230769231,0.20370370370370372,"[{""loss"": 1.0624, ""grad_norm"": 5.405607223510742, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0635, ""grad_norm"": 3.3547608852386475, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0224, ""grad_norm"": 3.5129873752593994, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 312.2059, ""train_samples_per_second"": 0.99, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0494123299916585, ""epoch"": 3.0}]",0.44,1.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,22,0.6538461538461539,0.48370927318295737,"[{""loss"": 1.083, ""grad_norm"": 5.729769229888916, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.035, ""grad_norm"": 4.2230024337768555, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0771, ""grad_norm"": 5.064323425292969, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 311.2041, ""train_samples_per_second"": 0.993, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0650267601013184, ""epoch"": 3.0}]",0.5882352941176471,0.9090909090909091,0.7142857142857143,0.0,0.0,0.0,0.7777777777777778,0.7,0.7368421052631579
pt,before_2016,23,0.34615384615384615,0.17647058823529413,"[{""loss"": 1.1084, ""grad_norm"": 3.379396438598633, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0159, ""grad_norm"": 4.143849849700928, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9927, ""grad_norm"": 4.973385334014893, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 313.7236, ""train_samples_per_second"": 0.985, ""train_steps_per_second"": 0.038, ""train_loss"": 1.038979450861613, ""epoch"": 3.0}]",0.391304347826087,0.8181818181818182,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,24,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.1014, ""grad_norm"": 2.9472603797912598, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0591, ""grad_norm"": 3.84680438041687, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0767, ""grad_norm"": 5.014103889465332, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 310.7534, ""train_samples_per_second"": 0.994, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0790436267852783, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,25,0.5,0.35555555555555557,"[{""loss"": 1.0842, ""grad_norm"": 2.932131052017212, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0062, ""grad_norm"": 4.010012149810791, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0159, ""grad_norm"": 2.685387372970581, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 316.403, ""train_samples_per_second"": 0.977, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0354339679082234, ""epoch"": 3.0}]",0.5625,0.8181818181818182,0.6666666666666666,0.0,0.0,0.0,0.4,0.4,0.4
pt,before_2016,26,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.0776, ""grad_norm"": 3.5105888843536377, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0533, ""grad_norm"": 5.339018821716309, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9924, ""grad_norm"": 4.2095513343811035, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 314.823, ""train_samples_per_second"": 0.982, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0411183834075928, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
pt,before_2016,27,0.46153846153846156,0.2650793650793651,"[{""loss"": 1.0687, ""grad_norm"": 4.357081413269043, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0036, ""grad_norm"": 3.9494900703430176, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 0.9934, ""grad_norm"": 5.384132385253906, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 313.1581, ""train_samples_per_second"": 0.987, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0218881766001384, ""epoch"": 3.0}]",0.4583333333333333,1.0,0.6285714285714286,0.0,0.0,0.0,0.5,0.1,0.16666666666666666
pt,before_2016,28,0.5769230769230769,0.42911877394636017,"[{""loss"": 1.1273, ""grad_norm"": Infinity, ""learning_rate"": 1.5000000000000002e-05, ""epoch"": 1.0}, {""loss"": 1.0125, ""grad_norm"": 3.9458906650543213, ""learning_rate"": 8.333333333333334e-06, ""epoch"": 2.0}, {""loss"": 0.984, ""grad_norm"": 4.595749378204346, ""learning_rate"": 1.6666666666666667e-06, ""epoch"": 3.0}, {""train_runtime"": 311.6747, ""train_samples_per_second"": 0.991, ""train_steps_per_second"": 0.039, ""train_loss"": 1.0412871837615967, ""epoch"": 3.0}]",0.5,0.8181818181818182,0.6206896551724138,0.0,0.0,0.0,0.75,0.6,0.6666666666666666
pt,before_2016,29,0.5384615384615384,0.3625,"[{""loss"": 1.1211, ""grad_norm"": 3.075390577316284, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.0612, ""grad_norm"": 7.603494644165039, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0093, ""grad_norm"": 8.328933715820312, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 313.1912, ""train_samples_per_second"": 0.987, ""train_steps_per_second"": 0.038, ""train_loss"": 1.0638887484868367, ""epoch"": 3.0}]",0.5238095238095238,1.0,0.6875,0.0,0.0,0.0,0.6,0.3,0.4
pt,before_2016,30,0.4230769230769231,0.1981981981981982,"[{""loss"": 1.1141, ""grad_norm"": 3.054187536239624, ""learning_rate"": 1.3333333333333333e-05, ""epoch"": 1.0}, {""loss"": 1.046, ""grad_norm"": 4.131874084472656, ""learning_rate"": 6.666666666666667e-06, ""epoch"": 2.0}, {""loss"": 1.0519, ""grad_norm"": 3.519468069076538, ""learning_rate"": 0.0, ""epoch"": 3.0}, {""train_runtime"": 311.8381, ""train_samples_per_second"": 0.991, ""train_steps_per_second"": 0.038, ""train_loss"": 1.070656379063924, ""epoch"": 3.0}]",0.4230769230769231,1.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
